live/beta,desease,status,model_output,symptoms
beta,Eso rupture,pass,"Eso rupture, GI","Burning, Stabbing, Radiates, Acid reflux, Esophagus, Age<50, CP1Day (cytopathologists), Diaphoresis, Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100)"
beta,PE,pass,"PE, Eso rupture","Sudden, Persistent, Burning, Pressure, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<20, Bed ridden, Pleural Rub, R S3, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, GI","Stomach, Persistent, Localised, Tightness, Hx ESO, Age>65, Trauma, Abd tender (Abdominal tender), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Ischemia","Pressure, Squeezing, Diffuse, Minutes, Aortic dissection, Age<50, DM (Diabetes mellitus), BP differential, Sbp>140 (systolic blood pressure is greater than 140), Un= pulses (unequal pulse), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Splitting, Tearing, Gripping, Onset at rest, Aortic dissection, Age>65, HTN (Hypertension), Un= pulses (unequal pulse), Murmur Diastolic, Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,Eso rupture,pass,"Eso rupture, GI","Retrosternal, Central, Boring, Jaw, Crepitus, Age<20, CP1Day (cytopathologists), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20)"
beta,PE,pass,"PE, Pulmonary","Persistent, Pleuritic, Intermittent, Onset at rest, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<40, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), Diaphoresis, Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90)"
beta,Ischemia,fail,"Infarct, Eso rupture","Dull, Central, Jaw, Gripping, CAD (Coronary artery disease), Age<60, DM (Diabetes mellitus), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,GI,pass,"GI, Eso rupture","Nausea, Acid reflux, Minutes, Ache, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Squeezing, Left side, Nitrate relief, Weeks, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HLD (Hyperlipidemia), Rales, CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), Murmur systolic"
beta,Ischemia,pass,"Ischemia, Infarct","Gripping, Intermittent, Persistent, Squeezing, CAD (Coronary artery disease), Age<30, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,AS/AI,pass,"AS/AI, CHF","Dull, Subacute, Diffuse, Weeks, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Murmur Diastolic, Rales, S3, CTA (Computed Tomography Angiography)"
beta,Ischemia,pass,"Ischemia, Infarct","Intermittent, Gripping, Nausea, Exertional, CAD (Coronary artery disease), Age<60, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Ischemia, Infarct","Pressure, Squeezing, Intermittent, Retrosternal, Infarct, Age<50, FH (Familial history), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,GI,pass,"GI, Eso rupture","Hours, Acid reflux, Dull, Persistent, G.I. (gastrointestinal), Age<30, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Aortic Dissection","Radiates, Minutes, Burning, Boring, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, Ischemia","Exertional, Nitrate relief, Tightness, Heaviness, Infarct, Age>65, CP1Day (cytopathologists), S3, Edema, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, GI","Diffuse, Boring, Minutes, Retrosternal, CTD (connective tissue disease), Age<40, TOB (Tobacco), Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Murmur Diastolic"
beta,AS/AI,pass,"AS/AI, GI","Intermittent, Short of breath, Dull, Months, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HLD (Hyperlipidemia), Sbp< 100 (systolic blood pressure is less than 100), Low carotid puls, Murmur Diastolic, CTA (Computed Tomography Angiography)"
beta,CHF,pass,"CHF, AS/AI","Tightness, Short of breath, Nitrate relief, Cough, Infarct, Age<50, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), S3, Edema"
beta,Aortic Dissection,pass,"Aortic Dissection, AS/AI","Boring, Squeezing, Diffuse, Minutes, CTD (connective tissue disease), Age<60, CP1Day (cytopathologists), Un= pulses (unequal pulse), Murmur Diastolic, Sbp>140 (systolic blood pressure is greater than 140), BP differential"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Gradual, Subacute, Fever, Persistent, COPD (Chronic obstructive pulmonary disease), Age<20, FH (Familial history), Diaphoresis, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4)"
beta,Eso rupture,pass,"Eso rupture, Infarct","Pressure, Tender, Tightness, Gripping, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Eso rupture","Throat, Persistent, Squeezing, Minutes, CAD (Coronary artery disease), Age<40, TOB (Tobacco), Diaphoresis, CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140)"
beta,PE,pass,"PE, Pericarditis","Onset at rest, Severe, Sharp, Burning, Coagulopathy, Age<20, Travel, Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), R S3, RR>20 (respiratory rate is greater than 20)"
beta,AS/AI,pass,"AS/AI, Aortic Dissection","Syncope, Pressure, Retrosternal, Weeks, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HTN (Hypertension), CTA (Computed Tomography Angiography), JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), Murmur Diastolic"
beta,GI,pass,"GI, Aortic Dissection","Minutes, Boring, Burning, Onset at rest, G.I. (gastrointestinal), Age<30, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Ischemia,pass,"Infarct, Ischemia","Pressure, Tightness, Nausea, Dull, CAD (Coronary artery disease), Age<60, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Days, Gradual, Fever, Persistent, COPD (Chronic obstructive pulmonary disease), Age<40, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), T>100.4 (temperature is greater than 100.4), Pleural Rub"
beta,GI,pass,"GI, Eso rupture","Intermittent, Boring, Minutes, Eating, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Splitting, Diffuse, Sudden, Radiates, CTD (connective tissue disease), Age>65, TOB (Tobacco), BP differential, Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140), Un= pulses (unequal pulse)"
beta,Pulmonary,pass,"Pulmonary, PE","Gradual, Cough, Persistent, Short of breath, COPD (Chronic obstructive pulmonary disease), Age<40, FH (Familial history), Diaphoresis, Pleural Rub, HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4)"
beta,CHF,pass,"CHF, Ischemia","Heaviness, Nitrate relief, Exertional, Tightness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, AS/AI","Subacute, Short of breath, Gradual, Exertional, Infarct, Age<50, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), O2sat < 90 (oxygen saturation level is less than 90), Rales, Sbp>140 (systolic blood pressure is greater than 140)"
beta,Ischemia,pass,"Infarct, Ischemia","Squeezing, Radiates, Jaw, Onset at rest, Infarct, Age<40, FH (Familial history), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,MS,pass,"MS, CHF","Positional, Sharp, Tender, Ache, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Dysphagia, Onset at rest, Throat, Ripping, G.I. (gastrointestinal), Age<30, CP1Day (cytopathologists), Diaphoresis, RR>20 (respiratory rate is greater than 20), Abd tender (Abdominal tender), HR>100 (heart rate greater than 100)"
beta,PE,pass,"PE, Pericarditis","Severe, Pleuritic, Onset at rest, Short of breath, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<30, Recent surgery , HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90)"
beta,AS/AI,pass,"AS/AI, CHF","Weeks, Nitrate relief, Pressure, Central, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HTN (Hypertension), S3, Low carotid puls, CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Boring, Diffuse, Minutes, Retrosternal, Aortic dissection, Age>65, TOB (Tobacco), Murmur Diastolic, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Diaphoresis"
beta,GI,pass,"GI, Aortic Dissection","Retrosternal, Minutes, Vomiting, Pressure, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Persistent, Tearing, Radiates, Ripping, Aortic dissection, Age<60, HLD (Hyperlipidemia), Sbp>140 (systolic blood pressure is greater than 140), BP differential, Murmur Diastolic, HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, Infarct","Onset at rest, Radiates, Squeezing, Persistent, Pericarditis, Age<20, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Gripping, Radiating to Back, Hours, Retrosternal, Hx ESO, Age<60, Trauma, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Central, Retrosternal, Sudden, Radiates, CTD (connective tissue disease), Age<40, TOB (Tobacco), BP differential, Un= pulses (unequal pulse), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Pulmonary,pass,"Pulmonary, PE","Short of breath, Gradual, Days, Persistent, COPD (Chronic obstructive pulmonary disease), Age>65, CP1Day (cytopathologists), Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), Diaphoresis"
beta,Pulmonary,pass,"Pulmonary, PE","Fever, Subacute, Short of breath, Cough, COPD (Chronic obstructive pulmonary disease), Age<60, TOB (Tobacco), Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4)"
